"Rk","Gtm","Date","Var.4","Opp","Rslt","PA","AB","R","H","X2B","X3B","HR","RBI","BB","IBB","SO","HBP","SH","SF","ROE","GDP","SB","CS","BA","OBP","SLG","OPS","LOB","X.","Thr","Opp..Starter..GmeSc.","Team","Field"
63,63,"Jun 8","@","DET","W,11-4",43,39,11,15,3,0,0,11,3,0,1,0,0,1,0,0,0,0,0.239,0.315,0.382,0.698,5,"11","R","M.Fulmer(26)","LAA","Away"
64,64,"Jun 9","@","HOU","W,9-4",44,36,9,13,3,0,1,9,6,0,4,1,0,1,0,2,4,0,0.242,0.318,0.385,0.703,8,"9","R","B.Peacock(26)","LAA","Away"
65,65,"Jun 10","@","HOU","L,1-3",33,29,1,2,0,0,0,1,3,0,12,1,0,0,1,1,2,0,0.239,0.316,0.38,0.697,5,"11","R","M.Fiers(78)","LAA","Away"
66,66,"Jun 11","@","HOU","W,12-6",43,37,12,12,3,0,2,12,5,0,13,0,0,1,0,1,4,0,0.241,0.318,0.384,0.701,4,"9","R","D.Paulino(32)","LAA","Away"
67,67,"Jun 12","","NYY","L,3-5",36,32,3,5,2,0,1,3,3,0,12,0,1,0,1,0,1,0,0.239,0.316,0.382,0.699,6,"9","R","M.Tanaka(64)","LAA","Home"
68,68,"Jun 13","","NYY","W,3-2",45,41,3,10,2,0,1,3,4,0,11,0,0,0,1,0,2,1,0.24,0.316,0.382,0.698,10,"11","L","C.Sabathia(57)","LAA","Home"
69,69,"Jun 14","","NYY","W,7-5",39,35,7,12,1,0,2,6,2,0,4,1,0,1,0,0,2,0,0.241,0.317,0.385,0.702,8,"9","R","M.Pineda(33)","LAA","Home"
70,70,"Jun 15","","KCR","L,2-7",33,32,2,6,0,0,0,2,1,0,4,0,0,0,0,1,0,0,0.24,0.316,0.382,0.698,4,"9","L","M.Strahm(61)","LAA","Home"
71,71,"Jun 16","","KCR","L,1-3",31,30,1,3,1,0,1,1,1,0,6,0,0,0,0,0,0,0,0.239,0.314,0.38,0.694,3,"12","R","I.Kennedy(67)","LAA","Home"
72,72,"Jun 17","","KCR","W,9-0",38,35,9,13,1,0,3,9,0,0,9,3,0,0,0,0,1,1,0.241,0.315,0.384,0.699,5,"11","R","J.Junis(38)","LAA","Home"
